origen_idx,text,label
4,"""A nadie le satisface nada en absoluto.""",3
4,"""No hay nada que los deje satisfechos.""",3
4,"""No hay nada que los haga felices.""",3
26,"""Baños donde se pueden ver ajolotes""",3
26,"""Espacios para relajarse rodeados de ajolotes""",3
26,"""Baños decorados con encantadores ajolotes""",3
32,"""Con la tarjeta de movilidad integrada, ya no me complicaré para viajar.""",3
32,"""Gracias a la tarjeta de movilidad integrada, todo será más fácil.""",3
32,"""Ya no me faltará la tarjeta, con la tarjeta de movilidad integrada se acabó.""",3
34,"""Hablando de remodelación, no de reconstrucción porque eso sería casi una misión imposible, ya que encima ya hay viviendas construidas.""",3
34,"""No fue una reconstrucción, sino una remodelación, porque arreglar todo de nuevo sería casi imposible con todas las casas que ya hay ahí arriba.""",3
34,"""Dicen que fue remodelación y no reconstrucción porque volver a construir de cero sería casi una locura, con todas las casas que ya están ahí arriba.""",3
5,"""Pásale crema porque luce que salió de un baño de sol tremendo, ¿de qué te quejas?""",3
5,"""Se ve como si estuviera tomando el sol a toda hora, ¿a qué te refieres con que te quejas?""",3
5,"""Parece que el sol lo bañó todo el día, ¿de qué te estás quejando?""",3
33,"""Aunque se ve chido, no olvides que es el gobierno del modelo estetico.""",3
33,"""A ver, se ve padre, pero no te olvides que es el gobierno del diseño bonito.""",3
33,"""Sí se ve bien, pero recuerda que es el gobierno del prototipo estetizado.""",3
92,"""Con 5 pesos, ¿qué se puede esperar sino una botellita de agua y un bocadito?""",3
92,"""¿Cómo quieres que te den una botella de agua y un aperitivo si solo pagas 5 pesos?""",3
92,"""A ver, si gastas 5 pesos, ¿de verdad piensas que te van a dar una botella de agua y un refrigerio?""",3
146,"""A nada les pega, ¿verdad?""",3
146,"""No les encaja nada, ¿cierto?""",3
146,"""No les gusta nada de lo que ven.""",3
112,"""Qué buena idea, me gusta""",4
112,"""¡Excelente propuesta, felicitaciones!""",4
112,"""¡Qué genial la iniciativa, adelante!""",4
68,"""pero resulta que dicen que no lo hubieran cuidado antes y cuando ven todo lleno de grafiti y basura en el metro, los daños que tiene en general son por el uso de millones de personas y años sin mantenimiento""",3
68,"""dicen que no lo hubieran cuidado antes, pero cuando miran el metro lleno de pintas y basura, se dan cuenta de que los daños son por millones de usuarios y años sin mantenimiento""",3
68,"""la gente dice que no lo hubieran cuidado antes, pero cuando ven el metro lleno de grafiti y basura, se dan cuenta de que los daños son por el uso de millones de personas y años sin mantenimiento alguno""",3
100,"""Me parecen útiles porque al final también nosotros los vamos a necesitar, pero no se olviden del detalle de su cuidado.""",3
100,"""Me parecen chulos porque al final también nosotros los vamos a usar, pero que no falte el tema del mantenimiento.""",3
100,"""Me parecen bien porque al final también nosotros los vamos a aprovechar, pero que no se les pase el detalle del mantenimiento.""",3
75,"""No importa, porque al final salir más caro por la multa si urinás en la calle.""",3
75,"""No hay problema, porque al final te sale más caro la multa que por orinar en la calle.""",3
75,"""Ya vale, porque termina siendo más caro lo que te cobran por hacer pis en la vía pública.""",3
177,"""Para nada me gusta, ¡les falta mucho!""",3
177,"""De plano no me convence, ¡les falta mucho todavía!""",3
177,"""Ni modo me aburre, ¡les falta pa' mejorarse mucho!""",3
185,"""están bien para andar de antro en antro""",3
185,"""son ideales para salir de un lado a otro en la ciudad""",3
185,"""están perfectos para andar de fiesta y de un lugar a otro""",3
156,"""La escenografía está quedando espectacular, ¡vaya trabajo!""",3
156,"""¡Qué chamba tan padre se está quedando la escenografía!""",3
156,"""La escenografía está quedando bien padre, ¡se nota el esfuerzo!""",3
208,"""A pesar de las quejas, somos uno de los países que más disfruta y sigue este deporte.""",3
208,"""Aunque se quejen, nosotros somos de los que más vemos y amamos este deporte.""",3
208,"""No importa las quejas, seguimos siendo de los que más apoyamos y vemos este deporte.""",3
228,"""Hay cosas más importantes, con el mundial viene el rollo""",4
228,"""Antes que nada, cuando el mundial se acerca se siente el ambiente""",4
228,"""Las cosas que importan llegan con el mundial, ahí es donde se siente""",4
195,"""A todos nos incomoda, pero las personas que andan circulando por ahí son las que realmente afectan y, si cada quien usara las cosas con cuidado, no necesitáramos tanto mantenimiento; no es culpa del gobierno.""",3
195,"""Todo nos afecta, pero claro, son las personas que andan por ahí sin cuidado lo que empeora todo, y si la gente usara las cosas con respeto, no habría tanto problema con el mantenimiento; no es solo culpa del gobierno.""",3
195,"""Nos molesta todo, pero al final son las personas que andan circulando descuidadas las que empeoran la situación, y si cada quien usara las cosas de manera adecuada, no habría tanta necesidad de mantenimiento; no es solo culpa del gobierno.""",3
277,"""El mundial va a generar un montón de empleos y lana con el turismo, así que estoy totalmente a favor de que se haga aquí.""",4
277,"""Con el mundial va a haber un montón de oportunidades de trabajo y lana por el turismo, así que yo apoyo que se haga aquí.""",4
277,"""El mundial traerá un montón de empleos y dinero por el turismo, así que estoy de 100% de acuerdo en que se realice aquí.""",4
247,"""Se me hace chistoso que los estadios sean privados, el único beneficio para nosotros son las ventas, se me hace chistoso.""",3
247,"""No puedo dejar de reír, los estadios son de propiedad privada, lo único que beneficia a la gente son las ventas, qué chistoso.""",3
247,"""Me divierte tanto que los estadios son privados, la única cosa que nos beneficia somos las ventas, qué reír.""",3
240,"""Aunque duele, no vamos a dejar que más de 30 equipos se queden sin Mundial, porque esos son problemas internos de México y no es culpa de la FIFA ni de los otros equipos.""",3
