text,label
"""Usando la tarjeta de movilidad integrada""",3
"""Con la tarjeta de movilidad que tenemos""",3
"""Gracias a la tarjeta de movilidad integrada""",3
"""Baños con ajolotes, qué locura, jaja.""",3
"""Esto de los baños con ajolotes, ¿no les da cosita?""",3
"""Me encantaría ver baños con ajolotes, jaja, qué chasco sería.""",3
"""Parecería de los años 1520, ¿en qué estás chillando?""",3
"""Se ve como si fuera del año 1520, ¿de qué te quejas?""",3
"""Luce como si estuviera sacado del año 1520, ¿por qué te quejas?""",3
"""Se hizo una remodelación, no una reconstrucción porque eso sería casi imposible, ya que arriba ya hay viviendas.""",3
"""No fue una reconstrucción sino una remodelación, porque reconstruir sería casi imposible con las casas que ya están ahí arriba.""",3
"""Dicen que fue una remodelación y no una reconstrucción porque arriba ya hay casas, sería casi imposible hacer otra cosa.""",3
"""Pero se ve super padre, claro, es el gobierno de la maqueta chula.""",3
"""Aunque sea así, se ve bien; no olvides que es el gobierno de la maqueta elegante.""",3
"""Sí, se ve bien, pero no te olvides que es el gobierno de la maqueta chic.""",3
"""Nadie está satisfecho con nada, ¿qué onda?""",3
"""Parece que nada los deja felices, ¿qué tal?""",3
"""A ver, ¿qué es lo que los hace contentos? ¡Nada, obvio!""",3
"""No importa, porque la multa por hacer pis en la calle sale más cara.""",3
"""No hay problema, porque al final salir a orinar en la calle te sale más caro por la multa.""",3
"""No importa, porque la multa por orinar en público es más cara que el riesgo.""",3
"""Qué buena idea, ¡me gusta!""",4
"""¡Qué bien que hayan hecho eso!""",4
"""Excelente propuesta, ¡me animé!""",4
"""A nadie les gusta eso""",3
"""Eso no les convence a ninguno""",3
"""Eso no les hace gracia a nadie""",3
"""Con 5 pesos, ¿qué se supone que te vayan a dar, una botella de agua y un botana?""",3
"""Pues con 5 pesos, ¿a quién esperas que te incluya una botella de agua y un refrigerio?""",3
"""¿Con 5 pesos qué te esperas que te sirvan? Una botella de agua y un bocadito.""",3
"""Me parecen bien porque al final también nosotros los vamos a usar, pero claro que está el detalle de su cuidado.""",3
"""Me parecen bien porque al final también los vamos a necesitar, aunque sí hay que pensar en cómo mantenerlos.""",3
"""Me parecen bien porque al final también nos van a servir, pero claro que hay que pensar en cómo cuidarlos.""",3
"""O sea, dicen que no lo hubieran cuidado antes, pero cuando ven el metro todo grafiteado y lleno de basura, los daños son consecuencia del uso de millones de personas y años sin un mantenimiento adecuado.""",3
"""Dicen que no lo cuidaron antes, pero claro, cuando ven el metro lleno de grafitis y basura, es obvio que los daños son por el uso de millones de personas y la falta de mantenimiento durante muchos años.""",3
"""Dicen que no lo cuidaron antes, pero resulta que cuando ven el metro lleno de pintas y basura, es porque ha sido usado por millones de personas y no ha tenido mantenimiento en mucho tiempo.""",3
"""Para nada me gusta, ¡es un asco!""",3
"""No me agrada para nada, ¡me embona!""",3
"""De plano no me gusta, ¡me vale madres!""",3
"""La escenografía está quedando espectacular, ¡madre mía!""",3
"""¡La escenografía está quedando increíble, madre!""",3
"""¡Va quedando con mucho estilo la escenografía, madre!""",3
"""están bien chidos para salir de antro en antro""",3
"""están perfectos para andar de bar en bar""",3
"""son ideales para andar de fiesta sin parar""",3
"""Nos quejamos, pero somos de los que más disfrutamos este deporte en el mundo.""",3
"""A pesar de todo, somos de los que más amamos este deporte en todo el país.""",3
"""Quejarse no quita que seamos los que más le ponemos pasión a este deporte en toda la nación.""",3
"""Hay cosas más importantes que el mundial, como que se vino el bicho.""",4
"""No es tan importante el mundial, ¡ahora llegó el bicho!""",4
"""Mejor déjense de tonterías con el mundial, llegó el bicho.""",4
"""Me explota de la risa que los estadios sean privados, el único beneficio que nos quedamos es de las ventas, qué chistoso.""",3
"""No puedo parar de reír, estos estadios son privados y lo único que nos queda es la venta de entradas, qué ironico.""",3
"""Es tan gracioso que los estadios estén en manos privadas, y lo único que nos beneficia somos nosotros con las ventas, qué humor.""",3
"""Duele, pero no por eso vamos a dejar fuera a más de 30 selecciones del mundial, porque esos son problemas internos de México, no es culpa de la FIFA ni de las otras selecciones.""",3
"""Está mal que duela, pero no por eso se les va a negar el mundial a más de 30 selecciones, ya que estos son problemas que tiene México y no es culpa de la FIFA o de las otras selecciones.""",3
"""Aunque duele, no es justo dejar fuera a más de 30 selecciones del mundial por problemas que son exclusivamente de México, no es culpa de la FIFA ni de las demás selecciones.""",3
"""A todos nos molesta, pero en fin, a las personas que se mueven por ahí en sus vehículos, vamos, que si cuidaran bien el transporte, no sería tan necesario el mantenimiento. No es culpa del gobierno, sino de cómo usamos las cosas""",3
"""Ya sabemos que todo nos incomoda, pero bueno, a las que andan con sus carros por ahí, si hicieran buen uso de ellos, no se necesitaría tanto mantenimiento. Eso no es problema del gobierno, sino de cómo usamos lo que tenemos""",3
"""O sea, a todos nos irrita algo, pero vamos, a los que andan manejando, si cuidaran su vehículo, no haría tanta falta el mantenimiento. Esto no es porque el gobierno falle, es por cómo usamos las cosas""",3
"""¿Cómo podemos impulsar que esto también pase en la CDMX?""",3
"""¿Qué se necesita para lograr que esto ocurra en la CDMX también?""",3
"""¿Cómo lograr que esto también suceda en la Ciudad de México?""",3
"""Ningún vato aguanta que siempre esté en reparación, que si esto, que si lo otro, ¿por qué no lo cierran mejor? ¿Por qué lo cierran? Pero si saben que el Metro nunca puede parar su servicio porque es el transporte de millones de personas y hacer un mantenimiento profundo lleva mucho tiempo. Ahora el Metro está fuera de servicio de las 0:00 a las 5:00 am, en 5 horas diarias es imposible hacer un mantenimiento muy profundo.""",3
"""Nadie aguanta con que esté siempre arreglándose, que si una cosa, que si otra. ¿Por qué no lo cierran de una vez? Pero claro, el Metro no puede parar porque es el transporte de millones de personas, y un mantenimiento en serio toma mucho tiempo. Ahora, el Metro está fuera desde las 0:00 hasta las 5:00 am, en 5 horas diarias, es imposible hacer un mantenimiento profundo.""",3
"""Ya ni modo que ninguno de ustedes aguanta que el Metro esté siempre en reparación, que si esto, que si lo otro. ¿Por qué no lo cierran y listo? Pero si saben que el Metro nunca puede parar porque es el transporte de millones de personas, y darle un mantenimiento profundo toma mucho tiempo. Ahora, el Metro está fuera de servicio de las 0:00 a las 5:00 am, en 5 horas diarias, es",3
Totalmente de acuerdo con esta iniciativa,4
Estoy al cien con este movimiento,4
Apoyo al 100 este empuje,4
"""El mundial va a generar un montón de empleos y dinero por el turismo, así que yo sí apoyo que se haga el mundial.""",4
"""Con el mundial, se van a crear muchas oportunidades de trabajo y ganancias por el turismo, así que estoy totalmente a favor.""",4
"""El mundial traerá un montón de empleos y lana gracias al turismo, así que yo sí estoy de acuerdo con que se lleve a cabo.""",4
"""Eres un capo, presidentes.""",4
"""Qué grande eres, presidentes.""",4
"""Eres un jefe, presidentes.""",4
"Me apasiona el fútbol, pero ya es hora de que se oigan las miles de voces y nos juntemos todos",3
"El fútbol me encanta, pero llegó la coyuntura de que millones de voces se escuchen y nos solidaricemos",3
"Me fascina el fútbol, pero ya es tiempo de que se escuchen las voces de muchos y nos unamos todos",3
